Geneid	Length	RNA-seq_Gametocyte_WT_1	RNA-seq_Gametocyte_WT_2	RNA-seq_Gametocyte_WT_3	RNA-seq_gSNF2_KO_1	RNA-seq_gSNF2_KO_2	RNA-seq_gSNF2_KO_3
PBANKA_0607600	327	1837	1582	712	1164	2119	504
PBANKA_0607700	3747	16544	8161	542	1413	6409	1275
PBANKA_0607800	1920	5145	1923	608	382	1705	341
PBANKA_0607900	2856	2243	777	349	228	628	253
PBANKA_0608000	1317	1249	1002	364	377	902	208
PBANKA_0608100	696	1157	710	226	199	509	85
PBANKA_0608200	573	1494	637	255	281	903	59
PBANKA_0608300	2367	1393	694	233	152	522	167
PBANKA_0608400	1023	619	468	128	113	273	67
PBANKA_0608500	930	1549	1152	380	449	1042	367
PBANKA_0608600	2625	137231	54624	15651	13806	48383	7777
PBANKA_0608700	594	354	127	50	63	213	38
PBANKA_0608800	1656	440	245	81	29	205	29
PBANKA_0608900	2601	1285	277	129	106	471	62
PBANKA_0609000	1395	376	114	70	35	248	20
PBANKA_0609100	3510	4658	1892	252	658	1972	460
PBANKA_0609200	1368	961	448	219	183	655	96
PBANKA_0609250	123	1	1	1	4	9	2
PBANKA_0609300	1359	760	258	64	43	181	42
PBANKA_0609500	4812	104255	43987	1154	14139	33799	7218
PBANKA_0609600	702	152	166	76	40	116	100
PBANKA_0609700	4356	1545	438	148	206	653	138
PBANKA_0609800	3060	1199	449	136	111	481	126
PBANKA_0609900	738	4674	2945	1050	1345	2016	1107
PBANKA_0610000	1200	1463	515	160	128	440	91
PBANKA_0610100	8259	6377	2159	217	592	2582	448
PBANKA_0610200	2277	14574	12632	2331	4924	10567	2234
PBANKA_0610300	690	2974	1765	718	334	2015	201
PBANKA_0610400	4479	11228	4131	214	1416	3404	1404
PBANKA_0610500	603	1205	914	251	88	651	61
PBANKA_0610600	1458	2352	1722	550	522	1085	318
PBANKA_0610700	723	1390	672	223	213	481	111
PBANKA_0610800	1893	2425	878	331	261	732	154
PBANKA_0610900	1275	5040	2364	805	1104	1958	820
PBANKA_0611000	555	599	227	89	91	244	33
PBANKA_0611100	2850	1439	521	173	185	496	79
PBANKA_0611200	1647	122	30	7	20	47	33
PBANKA_0611300	618	1210	535	233	196	676	164
PBANKA_0611400	2064	1018	425	144	88	317	64
PBANKA_0611500	624	570	585	165	89	277	40
PBANKA_0611600	2544	132874	73081	10759	25004	42104	15791
PBANKA_0611700	504	687	349	178	133	258	66
PBANKA_0611800	1527	4468	1538	565	319	1300	193
PBANKA_0611900	600	1369	889	297	188	1037	82
PBANKA_0612000	723	120	32	10	21	43	12
PBANKA_0612100	2538	723	243	187	150	770	84
PBANKA_0612200	3756	6710	2013	676	738	1914	491
PBANKA_0612300	2499	4269	1178	423	386	1293	696
PBANKA_0612400	3264	211722	90039	22101	18265	64368	15193
PBANKA_0612500	600	448	72	50	58	154	30
PBANKA_0612600	2904	648	295	104	122	212	87
PBANKA_0612700	1782	1538	624	226	161	728	162
PBANKA_0612800	3576	2036	582	217	187	727	191
PBANKA_0612841	72	7	15	5	6	1	14
PBANKA_0612861	72	15	25	18	25	49	14
PBANKA_0612900	405	1496	970	304	365	1407	216
PBANKA_0613000	3711	577	163	57	45	97	32
PBANKA_0613100	11031	2976	837	310	520	1454	319
PBANKA_0613200	5130	11242	2959	899	736	3035	668
PBANKA_0613300	1965	2601	1525	472	299	833	196
PBANKA_0613400	1026	376	259	112	86	172	110
PBANKA_0613500	1104	1154	449	165	114	357	64
PBANKA_0613600	1503	928	495	184	213	844	74
PBANKA_0613700	2775	10963	6360	1075	1550	4106	1151
PBANKA_0613800	3072	993	530	158	217	424	110
PBANKA_0613900	1527	693	310	125	110	399	57
PBANKA_0614000	1437	4091	1281	759	612	1163	325
PBANKA_0614100	522	554	325	132	96	315	63
PBANKA_0614200	1416	529	266	123	114	278	70
PBANKA_0614300	1599	260	139	80	57	124	23
PBANKA_0614400	3099	1132	369	189	131	530	97
PBANKA_0614500	984	1954	1210	460	529	1003	294
PBANKA_0614600	987	507	148	66	71	190	54
PBANKA_0614700	900	2006	1535	734	363	926	164
PBANKA_0614800	2490	3030	951	326	309	1063	251
PBANKA_0614900	1002	1302	689	272	233	455	136
PBANKA_0615000	1146	940	560	186	147	362	73
PBANKA_0615100	2052	2627	826	403	253	770	193
PBANKA_0615200	1587	19808	6885	1734	1049	3439	1005
PBANKA_0615300	2940	64786	28522	6927	8466	24004	5146
PBANKA_0615400	1611	2285	933	312	305	628	178
PBANKA_0615500	3747	7296	3353	322	864	2331	1029
PBANKA_0615600	1293	1037	628	149	327	498	141
PBANKA_0615700	15750	18018	4527	231	595	1614	433
PBANKA_0615800	7371	15096	4663	299	877	3504	1259
PBANKA_0615900	7605	64	31	15	16	42	38
PBANKA_0616000	390	301	313	95	176	232	158
PBANKA_0616100	570	1321	822	286	157	344	171
PBANKA_0616200	3201	1312	422	77	66	129	54
PBANKA_0616300	1389	321	130	44	23	115	15
PBANKA_0616400	828	1353	1729	502	468	969	382
PBANKA_0616500	534	1435	976	222	183	572	121
PBANKA_0616600	534	2081	1976	1063	1048	4695	540
PBANKA_0616700	933	7606	6747	2417	1395	5874	1050
PBANKA_0616800	2718	1138	328	115	120	342	70
PBANKA_0616900	4023	2232	830	257	289	884	213
PBANKA_0617000	1275	3045	1620	511	314	1057	132
PBANKA_0617100	522	6578	3769	1007	991	2431	827
PBANKA_0617200	414	3896	2472	963	616	3620	411
PBANKA_0617300	1479	485	296	111	65	116	50
PBANKA_0617400	8646	1915	489	110	133	373	122
PBANKA_0617500	585	511	340	103	73	273	70
PBANKA_0617600	864	769	492	201	65	371	45
PBANKA_0617700	363	567	345	133	123	392	113
PBANKA_0617800	303	791	623	164	93	350	79
PBANKA_0617900	1968	1740	862	285	295	715	199
PBANKA_0618000	408	243	91	43	31	513	23
PBANKA_0618100	705	1733	1337	445	355	903	302
PBANKA_0618200	5751	7471	2210	271	748	2379	717
PBANKA_0618300	591	252	189	94	104	230	78
PBANKA_0618400	597	1828	1308	425	462	1013	222
PBANKA_0618500	7659	4322	1481	501	474	1594	368
PBANKA_0618600	708	2109	795	413	304	740	205
PBANKA_0618700	2664	567	192	69	91	259	59
PBANKA_0618800	2376	765	346	141	63	265	59
PBANKA_0618900	678	831	416	182	169	367	82
PBANKA_0619000	2295	1624	692	217	192	736	162
PBANKA_0619100	585	5427	4229	1496	1514	4231	840
PBANKA_0619200	1440	21964	11604	3387	1400	5399	960
PBANKA_0619300	315	903	528	188	238	479	105
PBANKA_0619400	237	1455	1475	660	503	3082	215
PBANKA_0619500	666	1201	775	227	93	770	41
PBANKA_0619600	1158	481	154	47	52	191	39
PBANKA_0619700	1635	370	133	68	36	133	32
PBANKA_0619800	3138	3173	978	333	311	1184	215
PBANKA_0619900	1182	1728	1087	358	500	811	347
PBANKA_0620000	810	470	332	108	102	165	55
PBANKA_0620100	1812	3605	1635	453	337	1566	160
PBANKA_0620200	240	2560	1645	627	524	2195	300
PBANKA_0620300	1665	35114	27214	8527	7628	21633	1787
PBANKA_0620400	933	17846	19564	7710	8140	21080	3716
PBANKA_0620500	1008	312	111	53	24	53	19
PBANKA_0620600	1362	2971	2093	838	678	2026	417
PBANKA_0620700	1071	2769	1758	594	625	1420	448
PBANKA_0620800	1680	1879	1020	282	275	709	215
PBANKA_0620900	3369	3750	1428	105	426	1398	323
PBANKA_0621000	666	1594	1041	282	234	742	87
PBANKA_0621100	441	272	170	79	48	199	34
PBANKA_0621200	2373	744	239	111	103	377	38
PBANKA_0621300	5214	16173	4473	512	1776	5716	1248
PBANKA_0621400	3399	5154	1338	127	415	1624	421
PBANKA_0621500	4920	1880	591	233	142	448	107
PBANKA_0621600	2091	2815	1614	240	514	1283	493
PBANKA_0621700	1269	694	263	85	110	333	65
PBANKA_0621800	1080	1357	529	292	208	1533	135
PBANKA_0621900	345	1651	1082	452	360	1184	241
PBANKA_0622000	900	11672	9364	2488	1312	5669	242
PBANKA_0622100	5079	8936	2808	553	741	2311	571
PBANKA_0622200	9459	4688	1644	177	564	2057	608
PBANKA_0622300	1224	1218	461	111	151	391	118
PBANKA_0622400	6342	171274	62208	2374	15081	48376	13458
PBANKA_0622500	2637	1569	646	104	154	610	131
PBANKA_0622600	4200	2121	846	347	351	904	374
PBANKA_0622700	447	639	373	143	186	406	106
PBANKA_0622800	2274	2544	751	207	274	708	252
PBANKA_0622900	300	297	219	52	35	150	19
PBANKA_0622921	2067	121	1369	10047	1872	11244	1258
PBANKA_0622941	136	42	36	15	18	56	20
PBANKA_0622961	3934	127	566	404	337	535	110
PBANKA_0623000	819	1370	1077	610	385	2089	99
PBANKA_0623100	2382	20206	7897	2063	2964	6199	2314
PBANKA_0623150	252	2247	1889	580	328	1363	209
PBANKA_0623200	1737	3380	2553	932	1210	1974	623
PBANKA_0623300	1029	3206	1980	555	480	1155	311
PBANKA_0623400	936	519	380	182	234	457	70
PBANKA_0623450	417	6735	6950	2497	2710	5538	622
PBANKA_0623500	1065	1367	903	527	570	1459	181
PBANKA_0623600	912	910	523	148	51	155	19
PBANKA_0623651	831	1	1	0	0	0	1
PBANKA_0623700	2715	1	0	0	0	0	0
PBANKA_0623751	447	1	0	0	0	0	0
PBANKA_0700011	693	0	0	0	0	1	0
PBANKA_0700021	693	0	0	0	0	0	0
PBANKA_0700031	978	7	0	0	0	0	0
PBANKA_0700041	963	1	2	0	0	0	0
PBANKA_0700051	921	35	30	2	1	2	0
PBANKA_0700061	945	358	196	65	64	150	1
PBANKA_0700071	915	612	297	92	38	74	11
PBANKA_0700081	960	194	75	21	14	23	5
PBANKA_0700100	915	333	88	38	12	37	12
PBANKA_0700200	969	258	27	7	13	14	0
PBANKA_0700300	1053	49	12	7	8	29	1
PBANKA_0700400	798	47	16	5	9	17	4
PBANKA_0700500	849	148	85	35	19	114	8
PBANKA_0700521	876	0	0	0	0	0	0
PBANKA_0700541	954	324	121	32	20	71	4
PBANKA_0700561	1227	333	160	43	21	109	2
PBANKA_0700600	678	1104	696	265	150	542	88
PBANKA_0700700	624	788	709	228	93	471	103
PBANKA_0700721	2042	68	1297	1789	1564	1998	293
PBANKA_0700741	159	15	170	5884	7389	48989	780
PBANKA_0700761	3789	649	12095	10566	7988	24549	1762
PBANKA_0700800	891	1757	899	367	187	636	154
PBANKA_0700900	3147	457	181	51	35	153	36
PBANKA_0701000	1266	982	547	114	131	431	68
PBANKA_0701100	495	3805	1583	774	348	1171	216
PBANKA_0701200	7482	4138	1178	148	129	1079	191
PBANKA_0701300	1365	668	186	44	43	124	57
PBANKA_0701400	288	382	206	48	38	115	28
PBANKA_0701500	819	981	578	195	201	374	98
PBANKA_0701600	651	868	753	274	248	496	193
PBANKA_0701700	4884	1982	728	258	305	927	210
PBANKA_0701800	558	827	555	180	120	346	76
PBANKA_0701900	1878	822	530	171	142	571	47
PBANKA_0702000	2955	16088	4369	1287	1656	5947	1587
PBANKA_0702100	1518	1977	951	373	279	724	220
PBANKA_0702200	1029	632	366	103	163	389	66
PBANKA_0702300	1272	1891	1065	763	360	1925	90
PBANKA_0702400	1626	4331	2163	626	510	1529	177
PBANKA_0702500	3612	3748	1251	427	378	968	207
PBANKA_0702600	2853	304	75	27	42	135	30
PBANKA_0702700	801	3154	3159	1606	2188	4925	1200
PBANKA_0702800	1449	23701	10934	3720	3312	6820	2404
PBANKA_0702900	6135	5629	2001	313	419	1714	360
PBANKA_0703000	1734	458	146	40	37	154	32
PBANKA_0703100	4395	1937	726	109	197	688	144
PBANKA_0703200	954	515	231	140	54	168	50
PBANKA_0703300	642	7567	5267	1780	1735	3983	1349
PBANKA_0703400	1191	1551	784	232	94	370	70
PBANKA_0703500	3063	36896	10556	3311	3443	11976	3430
PBANKA_0703600	3222	2487	692	277	278	1035	188
PBANKA_0703700	3216	4134	1466	426	459	1611	277
PBANKA_0703800	2256	2005	734	215	149	483	138
PBANKA_0703900	969	6410	4755	2286	2983	5693	1250
PBANKA_0703910	91	34	33	8	24	34	6
PBANKA_0704000	825	509	328	128	73	281	53
PBANKA_0704100	3657	3443	1397	490	560	1124	409
PBANKA_0704200	921	1592	591	215	210	504	124
PBANKA_0704300	1125	1760	999	342	192	638	147
PBANKA_0704400	1314	4727	3307	1045	555	2460	373
PBANKA_0704500	22443	35575	5240	198	1075	8553	2086
PBANKA_0704600	2580	1277	299	80	49	210	34
PBANKA_0704700	1464	7444	3594	1097	888	2515	758
PBANKA_0704800	1161	56464	27806	8122	4521	24286	3017
PBANKA_0704900	870	39616	23725	6191	5557	16644	3408
PBANKA_0705000	258	358	277	50	76	200	45
PBANKA_0705100	1893	1500	960	329	153	524	75
PBANKA_0705200	366	1090	888	623	545	1690	232
PBANKA_0705300	456	328	199	70	32	127	25
PBANKA_0705400	489	307	255	110	103	204	54
PBANKA_0705500	558	1950	1461	475	183	744	62
PBANKA_0705600	4608	61183	24081	2324	5024	18262	3886
PBANKA_0705700	3108	815	285	124	100	314	53
PBANKA_0705800	3384	2976	1324	446	685	1259	439
PBANKA_0705900	1752	2008	1607	564	661	1301	355
PBANKA_0706000	759	1087	602	200	109	324	85
PBANKA_0706100	1047	185	237	66	50	141	38
PBANKA_0706200	1665	609	301	122	76	208	45
PBANKA_0706300	2253	1424	547	116	111	456	80
PBANKA_0706400	3324	6738	2289	710	962	2630	910
PBANKA_0706500	1221	102	124	59	43	68	37
PBANKA_0706600	2388	287	265	81	64	165	29
PBANKA_0706700	960	12856	10626	2909	2739	7353	1597
PBANKA_0706800	1941	2103	921	352	325	770	175
PBANKA_0706900	201	665	540	350	331	1792	135
PBANKA_0707000	1287	152	91	33	64	121	34
PBANKA_0707100	1485	121923	81337	25031	22065	59904	12977
PBANKA_0707200	1506	3139	1491	516	174	486	85
PBANKA_0707300	3915	6687	2809	884	1295	2806	660
PBANKA_0707400	867	4781	3547	1065	1894	2568	914
PBANKA_0707500	687	1439	1307	389	466	810	292
PBANKA_0707600	3669	1502	488	191	170	577	137
PBANKA_0707700	3441	3045	2133	423	315	1522	256
PBANKA_0707800	969	687	515	180	102	489	69
PBANKA_0707900	2691	318	181	30	30	203	56
PBANKA_0708000	2280	2206	1295	562	547	1060	314
PBANKA_0708100	597	4133	2685	846	441	1392	341
PBANKA_0708200	1545	4217	2405	820	396	1781	281
PBANKA_0708400	252	570	362	152	181	421	134
PBANKA_0708500	3903	1557	1178	433	365	762	281
PBANKA_0708600	1179	496	282	97	79	222	63
PBANKA_0708700	792	153	97	61	62	98	35
PBANKA_0708800	1800	2728	1794	676	521	1353	289
PBANKA_0708900	324	477	476	220	189	965	120
PBANKA_0709000	240	4847	6106	6483	11434	21527	3780
PBANKA_0709100	417	3320	1774	749	179	1815	140
PBANKA_0709200	1743	663	363	169	121	302	57
PBANKA_0709300	696	93	27	22	6	34	4
PBANKA_0709400	351	1512	983	409	194	1123	106
PBANKA_0709500	2355	4567	2904	825	1623	2234	928
PBANKA_0709600	663	3142	3295	931	352	1757	162
PBANKA_0709700	2421	2270	1779	479	548	1355	515
PBANKA_0709800	1536	844	412	180	98	266	55
PBANKA_0709900	3693	337	239	99	178	428	129
PBANKA_0710000	2145	655	226	72	115	230	64
PBANKA_0710100	3117	9438	3860	1231	1702	3309	801
PBANKA_0710200	1365	1853	1503	553	318	891	134
PBANKA_0710300	2118	1717	589	247	164	462	92
PBANKA_0710400	1437	364	141	65	72	165	69
PBANKA_0710500	1701	1430	410	159	217	611	121
PBANKA_0710600	1791	2110	1154	425	404	1033	336
PBANKA_0710700	1065	1312	797	250	178	630	71
PBANKA_0710800	5721	7125	2993	460	1449	3255	742
PBANKA_0710900	276	618	475	176	97	540	52
PBANKA_0711000	4026	6177	1638	488	468	1378	134
PBANKA_0711100	1590	399	182	80	44	176	36
PBANKA_0711200	1140	2143	2286	648	544	1447	400
PBANKA_0711300	1140	2192	1580	394	289	1128	224
PBANKA_0711400	2049	331	244	87	58	175	87
PBANKA_0711500	2877	533	157	88	92	217	79
PBANKA_0711600	2064	180	116	50	44	101	44
PBANKA_0711700	876	700	374	136	101	397	59
PBANKA_0711800	3525	3061	1519	298	458	935	344
PBANKA_0711900	2082	37858	35302	9255	15934	39346	9285
PBANKA_0712000	1032	2250	1558	477	163	1153	155
PBANKA_0712100	3057	9254	4416	1231	1416	2716	1071
PBANKA_0712200	864	30562	24472	8313	7482	19636	3761
PBANKA_0712300	681	3485	1990	923	549	2060	294
PBANKA_0712400	582	767	549	197	126	380	83
PBANKA_0712500	1629	494	302	117	181	488	83
PBANKA_0712600	789	26925	15600	4644	6510	9103	4329
PBANKA_0712700	1839	340	358	159	178	470	144
PBANKA_0712800	1086	1629	812	289	263	559	195
PBANKA_0712900	297	49762	63739	13791	18005	60555	8066
PBANKA_0713000	165	653	607	297	316	811	163
PBANKA_0713100	3447	2742	1425	437	427	1149	272
PBANKA_0713200	2889	6984	4018	937	1048	2620	703
PBANKA_0713300	561	934	751	456	498	1009	320
PBANKA_0713400	1659	372	208	141	51	158	18
PBANKA_0713500	5649	4353	1699	439	566	2293	560
PBANKA_0713600	1881	612	221	83	89	386	130
PBANKA_0713700	2208	946	302	110	155	513	93
PBANKA_0713800	1221	605	230	78	55	176	40
PBANKA_0713900	828	1037	338	167	96	282	63
PBANKA_0714000	1041	81589	88764	25707	63043	110386	25312
PBANKA_0714100	432	2438	3485	867	1666	3562	638
PBANKA_0714200	3135	6398	3359	749	1067	2093	967
PBANKA_0714300	516	4763	5626	1811	2501	5156	1164
PBANKA_0714400	744	3971	2096	648	369	1432	175
PBANKA_0714500	2238	1528	440	186	25	107	34
PBANKA_0714600	630	2295	1797	439	519	1088	367
PBANKA_0714700	555	139	81	46	28	57	14
PBANKA_0714800	1335	325	271	67	51	183	39
PBANKA_0714900	2058	93	44	18	15	33	21
PBANKA_0715000	4467	6125	2128	492	808	3014	772
PBANKA_0715100	1101	113	38	21	41	68	30
PBANKA_0715200	810	3625	2382	747	689	1534	499
PBANKA_0715300	1455	1937	1041	442	220	879	163
PBANKA_0715400	486	2004	1823	673	378	1800	224
PBANKA_0715500	897	3121	2170	792	572	1984	220
PBANKA_0715600	1188	3050	2018	904	887	1960	498
PBANKA_0715700	1044	869	748	210	233	495	150
PBANKA_0715800	834	1031	583	196	169	454	105
PBANKA_0715900	2592	3114	910	258	322	942	161
PBANKA_0716000	3528	16635	6523	1083	1521	5035	1381
PBANKA_0716100	4338	1289	473	197	167	506	231
PBANKA_0716200	453	1070	1122	211	190	695	104
PBANKA_0716300	330	387	241	53	51	178	34
PBANKA_0716400	966	936	485	182	46	125	34
PBANKA_0716500	1167	9085	7234	2661	1713	5006	2684
PBANKA_0716600	768	4679	3835	950	1067	1952	725
PBANKA_0716700	1806	5078	1875	559	376	1803	226
PBANKA_0716800	324	10	21	0	4	19	0
PBANKA_0716900	825	1130	1427	414	659	1035	289
PBANKA_0717000	1140	852	495	224	181	429	108
PBANKA_0717100	1131	148	75	32	70	94	58
PBANKA_0717200	4797	9947	3292	970	860	2645	546
PBANKA_0717300	3645	14320	7130	1599	1938	4488	1263
PBANKA_0717400	660	492	168	70	51	233	36
PBANKA_0717500	720	670	407	131	173	346	121
PBANKA_0717600	681	1176	853	327	214	774	69
PBANKA_0717700	1314	1540	1051	361	401	944	191
PBANKA_0717800	618	6799	3637	1159	1312	2472	1065
PBANKA_0717900	1344	1829	1469	419	528	1685	293
PBANKA_0718000	1584	107	70	15	7	64	18
PBANKA_0718100	1971	572	295	104	107	285	93
PBANKA_0718200	636	162	215	61	43	108	33
PBANKA_0718300	3645	524	179	36	94	182	75
PBANKA_0718400	2958	4443	1839	547	492	1276	230
PBANKA_0718500	735	980	709	221	129	541	167
PBANKA_0718600	876	540	84	39	53	197	37
PBANKA_0718700	267	1207	588	161	64	382	26
PBANKA_0718800	576	4651	3361	2016	1627	4720	625
PBANKA_0718900	5559	2661	694	170	207	706	168
PBANKA_0719100	846	3354	1433	464	279	1298	255
PBANKA_0719200	1434	1406	591	201	141	429	124
PBANKA_0719300	1764	2087	818	343	687	1107	451
PBANKA_0719400	2004	2183	875	306	240	909	187
PBANKA_0719500	14493	11441	3564	518	1943	4277	1209
PBANKA_0719600	891	1115	464	182	124	583	50
PBANKA_0719700	2268	11383	4558	1287	592	2099	457
PBANKA_0719800	1329	8949	4571	1615	843	4563	447
PBANKA_0719900	1737	1695	908	271	131	696	110
PBANKA_0720000	2184	4546	2565	891	581	1518	620
PBANKA_0720100	12918	17112	4705	483	666	2414	234
PBANKA_0720200	3174	3414	854	322	231	852	175
PBANKA_0720300	1305	1353	438	183	103	349	74
PBANKA_0720400	2004	23768	10283	3053	3437	8238	2540
PBANKA_0720500	351	444	295	107	101	564	76
PBANKA_0720600	564	444	356	114	130	354	68
PBANKA_0720700	4284	826	382	133	118	456	107
PBANKA_0720800	1320	1317	916	326	245	647	115
PBANKA_0720900	798	45218	44973	11221	15153	33037	6170
PBANKA_0721000	1152	2330	1416	335	295	965	183
PBANKA_0721100	1335	7839	3485	1240	409	2043	273
PBANKA_0721200	786	219	122	32	42	100	36
PBANKA_0721300	411	564	256	110	118	417	47
PBANKA_0721400	939	355	173	66	84	233	57
PBANKA_0721500	6534	4761	1849	659	717	2313	711
PBANKA_0721600	1545	336	76	43	47	144	29
PBANKA_0721700	801	2449	1946	642	818	1020	461
PBANKA_0721800	780	851	469	330	445	1072	206
PBANKA_0721900	705	513	311	134	58	272	51
PBANKA_0722000	13878	8084	2759	438	1132	3502	972
PBANKA_0722100	1884	13	2	3	8	12	10
PBANKA_0722200	939	14	9	1	2	2	2
PBANKA_0722600	768	1767	860	221	22	35	13
PBANKA_0722700	972	10	3	4	2	2	1
PBANKA_0722801	741	282	74	15	13	24	6
PBANKA_0722900	954	156	39	21	19	22	7
PBANKA_0722921	1893	282	149	56	95	179	5
PBANKA_0722941	738	280	186	50	36	241	5
PBANKA_0722961	441	0	0	0	0	0	0
PBANKA_0800021	5358	4	1	0	0	2	0
PBANKA_0800041	732	1	0	1	0	0	0
PBANKA_0800061	978	23	13	18	1	14	2
PBANKA_0800100	927	1008	535	145	82	315	26
PBANKA_0800200	792	582	279	99	79	221	28
PBANKA_0800300	1677	1873	1662	374	559	964	321
PBANKA_0800400	204	3085	2090	1046	1519	5356	588
PBANKA_0800500	1947	410	219	81	179	202	100
PBANKA_0800541	73	0	3	6	5	8	2
PBANKA_0800561	84	5	3	0	0	0	9
PBANKA_0800600	324	496	355	108	119	307	69
PBANKA_0800700	4995	2113	631	168	183	552	131
PBANKA_0800800	534	821	416	144	112	312	77
PBANKA_0800900	3669	1833	778	230	296	825	236
PBANKA_0801000	441	438	368	94	77	193	43
PBANKA_0801100	2061	2716	832	309	237	852	150
PBANKA_0801200	6114	13767	4393	354	1163	3437	816
PBANKA_0801300	789	322	280	74	53	152	50
PBANKA_0801400	612	950	706	203	247	395	213
PBANKA_0801500	2238	6296	2117	741	192	855	36
PBANKA_0801600	11931	5240	1622	346	512	1384	417
PBANKA_0801700	9030	2843	907	292	311	873	211
PBANKA_0801800	8952	59515	16373	718	3760	17828	2840
PBANKA_0801900	3345	1078	546	95	170	398	87
PBANKA_0802000	6141	1939	719	47	105	516	100
PBANKA_0802100	2391	4067	1545	550	369	1565	184
PBANKA_0802200	3873	872	347	121	82	332	56
PBANKA_0802300	10320	24043	8855	689	2248	8030	1720
PBANKA_0802400	3819	563	170	86	121	317	90
PBANKA_0802500	3423	1952	697	237	274	886	178
PBANKA_0802600	993	928	402	105	97	228	73
PBANKA_0802700	3093	2689	1285	362	324	925	314
PBANKA_0802800	2736	1941	662	192	94	300	86
PBANKA_0802900	4194	864	261	101	75	273	46
PBANKA_0803000	2346	2891	1346	429	253	942	273
PBANKA_0803100	2484	12697	7048	1867	1312	3341	1109
PBANKA_0803200	7536	12434	3840	279	1249	3646	1108
PBANKA_0803300	3036	1552	631	202	145	388	116
PBANKA_0803400	165	2446	2105	582	1218	2364	518
PBANKA_0803500	498	2583	1586	748	871	1993	363
PBANKA_0803600	3684	2947	930	359	451	879	233
PBANKA_0803700	4461	4396	1547	516	454	1257	316
PBANKA_0803800	153	402	319	107	65	310	36
PBANKA_0803900	477	68	129	72	79	208	27
PBANKA_0804000	279	2934	1813	450	616	1111	700
PBANKA_0804100	4719	12352	4970	275	1894	4273	1885
PBANKA_0804200	1893	326	92	44	28	123	32
PBANKA_0804300	2562	7175	3324	1060	253	683	86
PBANKA_0804321	73	32	21	50	121	179	43
PBANKA_0804341	72	6	4	1	2	3	12
PBANKA_0804361	73	1	0	2	3	0	4
PBANKA_0804381	73	1	1	4	4	2	13
PBANKA_0804400	5430	4330	2862	661	344	801	206
PBANKA_0804500	1965	1551	1053	271	212	559	102
PBANKA_0804600	1950	674	426	160	102	304	36
PBANKA_0804700	4293	3088	967	327	320	1147	269
PBANKA_0804800	774	419	227	112	83	250	51
PBANKA_0804900	2781	2486	1098	213	335	995	192
PBANKA_0805000	3417	1800	632	174	144	435	97
PBANKA_0805100	780	1330	909	307	195	652	122
PBANKA_0805200	2472	1564	481	200	221	457	147
PBANKA_0805300	309	512	343	180	100	535	40
PBANKA_0805400	210	394	191	121	42	248	22
PBANKA_0805500	2910	3826	1642	528	191	341	108
PBANKA_0805600	702	1240	673	274	88	208	76
PBANKA_0805700	2163	38992	19572	8023	6278	12510	5674
PBANKA_0805750	320	52	38	46	14	147	23
PBANKA_0805800	813	413	287	66	95	253	102
PBANKA_0805900	4230	18299	5548	1269	1076	2647	509
PBANKA_0806000	483	1329	932	459	295	946	180
PBANKA_0806100	2475	1220	450	145	122	419	88
PBANKA_0806200	324	746	477	151	325	530	165
PBANKA_0806300	5337	4747	2612	205	745	1936	529
PBANKA_0806400	1272	1367	642	212	226	447	100
PBANKA_0806500	1059	1295	1040	398	338	616	181
PBANKA_0806600	2904	1118	648	177	199	516	176
PBANKA_0806700	13977	12897	3011	168	657	3262	779
PBANKA_0806800	1839	15495	7783	1716	370	1541	156
PBANKA_0806900	2745	1739	360	141	58	195	39
PBANKA_0807000	6933	20789	7223	287	2039	6373	2167
PBANKA_0807100	1191	688	290	92	58	235	53
PBANKA_0807200	657	17549	9495	2944	2402	8286	1167
PBANKA_0807300	1980	363	172	74	84	137	47
PBANKA_0807400	675	390	107	52	74	181	59
PBANKA_0807500	7239	9725	2633	670	887	3021	655
PBANKA_0807600	486	5284	3879	1051	1720	2612	1199
PBANKA_0807700	4323	5601	1923	660	408	1760	325
PBANKA_0807800	1467	1026	460	152	150	394	94
PBANKA_0807900	8523	23321	7483	332	2334	7594	2285
PBANKA_0808000	4029	5757	1781	414	520	1631	371
PBANKA_0808100	2559	126	113	37	27	66	27
PBANKA_0808200	753	1511	811	323	285	825	132
PBANKA_0808300	1605	1352	351	154	146	642	61
PBANKA_0808380	330	5	2	1	10	10	11
PBANKA_0808420	747	514	247	92	122	310	88
PBANKA_0808500	240	245	52	51	29	96	33
PBANKA_0808600	4020	1337	543	233	93	406	87
PBANKA_0808700	2676	3220	691	281	187	1010	132
PBANKA_0808800	909	370	163	69	43	132	36
PBANKA_0808900	2328	5747	1996	777	599	2255	445
PBANKA_0809000	2454	6870	3184	1019	251	759	207
PBANKA_0809100	837	770	347	143	70	353	64
PBANKA_0809200	543	291	87	39	44	157	30
PBANKA_0809300	711	244	168	53	21	136	26
PBANKA_0809400	1215	1662	648	230	171	501	109
PBANKA_0809500	1545	83	40	14	20	46	32
PBANKA_0809600	4428	1144	706	223	214	794	101
PBANKA_0809700	903	1737	1047	423	290	756	130
PBANKA_0809800	1467	451	246	75	101	207	48
PBANKA_0809900	915	916	529	161	201	528	103
PBANKA_0810000	1533	1246	714	198	208	602	133
PBANKA_0810100	2142	422	190	92	130	252	81
PBANKA_0810200	2046	2882	1006	336	242	812	166
