Geneid	Length	RNA-seq_gSNF2_KO_1	RNA-seq_gSNF2_KO_2	RNA-seq_gSNF2_KO_3
PBANKA_0418300	606	625	1571	383
PBANKA_0418400	489	25	101	16
PBANKA_0418500	1437	65	194	42
PBANKA_0500100	732	0	0	0
PBANKA_0500200	909	0	0	0
PBANKA_0500600	747	0	0	0
PBANKA_0500700	834	3	6	0
PBANKA_0500721	837	0	0	0
PBANKA_0500741	738	0	0	0
PBANKA_0500781	2631	0	0	0
PBANKA_0500950	810	0	0	0
PBANKA_0500971	873	5	7	5
PBANKA_0501000	8205	4	14	1
PBANKA_0501051	894	0	0	0
PBANKA_0501100	465	425	1055	243
PBANKA_0501200	663	195	245	80
PBANKA_0501300	3294	485	1250	209
PBANKA_0501400	768	21	88	5
PBANKA_0501500	1593	76	269	47
PBANKA_0501600	1320	131	325	98
PBANKA_0501700	738	491	1227	319
PBANKA_0501800	393	154	649	54
PBANKA_0501900	1614	59	214	54
PBANKA_0502000	1575	1919	6289	1222
PBANKA_0502100	2847	109	378	56
PBANKA_0502200	1404	248	644	113
PBANKA_0502300	1437	52	171	36
PBANKA_0502400	759	61	230	5
PBANKA_0502500	6288	5436	17670	2353
PBANKA_0502600	2148	291	702	235
PBANKA_0502650	585	3038	13627	1865
PBANKA_0502700	336	696	4635	695
PBANKA_0502800	4728	656	2674	375
PBANKA_0502900	1641	188	711	88
PBANKA_0503000	1374	140	520	109
PBANKA_0503100	1905	158	365	117
PBANKA_0503200	6333	1195	3746	925
PBANKA_0503300	4407	4395	14399	3104
PBANKA_0503400	726	51	131	31
PBANKA_0503500	4434	6025	16226	3642
PBANKA_0503600	327	583	1453	390
PBANKA_0503700	3741	337	974	239
PBANKA_0503800	2601	1054	3039	475
PBANKA_0503900	1698	50	334	53
PBANKA_0504000	2793	775	1550	362
PBANKA_0504100	375	159	612	97
PBANKA_0504200	1137	100	404	71
PBANKA_0504300	306	511	1450	90
PBANKA_0504400	2571	7800	21221	8821
PBANKA_0504500	1980	179	695	210
PBANKA_0504600	1443	56	149	28
PBANKA_0504700	1299	41	82	26
PBANKA_0504800	4662	210	447	83
PBANKA_0504900	3468	137	437	111
PBANKA_0505000	1875	120	199	104
PBANKA_0505100	546	1357	1345	928
PBANKA_0505200	1068	1115	3949	585
PBANKA_0505300	4857	87	236	70
PBANKA_0505400	1761	496	1909	429
PBANKA_0505500	1347	333	1060	197
PBANKA_0505600	1860	249	551	126
PBANKA_0505700	1830	345	1160	217
PBANKA_0505800	789	1338	2503	889
PBANKA_0505900	16836	1123	3472	914
PBANKA_0506000	5433	416	1248	274
PBANKA_0506100	5049	636	2232	437
PBANKA_0506200	3933	300	772	112
PBANKA_0506300	768	243	478	110
PBANKA_0506400	1872	84	182	37
PBANKA_0506500	915	201	890	127
PBANKA_0506600	1446	2921	5177	2682
PBANKA_0506700	1701	996	2863	412
PBANKA_0506800	2634	274	784	197
PBANKA_0506900	1296	747	3015	481
PBANKA_0507000	2460	175	485	193
PBANKA_0507100	357	2447	4297	1062
PBANKA_0507200	1200	98	392	63
PBANKA_0507300	15930	1998	9701	1106
PBANKA_0507400	1005	94	483	53
PBANKA_0507500	240	105	402	47
PBANKA_0507600	582	58	229	49
PBANKA_0507700	288	37	176	9
PBANKA_0507800	1479	97	409	36
PBANKA_0507900	2097	58	79	21
PBANKA_0508000	1608	1	10	7
PBANKA_0508100	8022	2204	8836	2518
PBANKA_0508200	1494	28	118	10
PBANKA_0508300	3096	106	449	107
PBANKA_0508400	489	123	383	74
PBANKA_0508500	396	104	763	73
PBANKA_0508600	1374	279	977	68
PBANKA_0508700	669	135	306	62
PBANKA_0508800	1290	158	537	99
PBANKA_0508900	1455	89	486	100
PBANKA_0509000	2976	1090	3158	773
PBANKA_0509100	3393	141	505	88
PBANKA_0509200	2592	754	1822	576
PBANKA_0509300	2274	1408	2458	1079
PBANKA_0509400	1119	66	143	34
PBANKA_0509500	2622	856	2537	500
PBANKA_0509600	3423	82	218	45
PBANKA_0509700	14091	628	2256	504
PBANKA_0509800	201	20	236	21
PBANKA_0509900	582	156	560	100
PBANKA_0510000	228	502	1664	224
PBANKA_0510100	3435	1038	3506	577
PBANKA_0510200	933	148	1156	99
PBANKA_0510300	525	783	5412	385
PBANKA_0510400	1569	599	1928	355
PBANKA_0510500	2730	103	297	86
PBANKA_0510600	1626	104	299	116
PBANKA_0510700	210	9	40	8
PBANKA_0510800	4332	494	1611	389
PBANKA_0510900	792	2562	4182	1126
PBANKA_0511000	864	12	30	5
PBANKA_0511100	3447	89	305	37
PBANKA_0511200	2034	321	820	167
PBANKA_0511300	1602	194	573	107
PBANKA_0511400	1170	593	1587	448
PBANKA_0511500	534	240	470	200
PBANKA_0511600	216	80	123	33
PBANKA_0511700	1008	1532	6389	1413
PBANKA_0511800	540	629	1312	340
PBANKA_0511900	1161	2191	4677	913
PBANKA_0512000	834	5590	13504	3566
PBANKA_0512100	1734	140	296	65
PBANKA_0512200	2019	537	1410	156
PBANKA_0512300	819	209	663	119
PBANKA_0512400	1158	149	716	86
PBANKA_0512500	1197	335	1153	200
PBANKA_0512600	1713	183	701	123
PBANKA_0512700	456	1015	2000	455
PBANKA_0512800	1857	3179	4811	1274
PBANKA_0512900	354	891	4044	507
PBANKA_0513000	1101	342	810	228
PBANKA_0513100	3858	76	293	83
PBANKA_0513200	1698	81	214	45
PBANKA_0513300	2229	74	237	64
PBANKA_0513400	1560	135	382	91
PBANKA_0513500	342	14	198	28
PBANKA_0513600	1092	357	1335	292
PBANKA_0513700	2346	9	48	26
PBANKA_0513800	1326	243	423	144
PBANKA_0513900	4041	1161	4232	969
PBANKA_0514000	396	566	1325	455
PBANKA_0514100	3489	734	1606	400
PBANKA_0514200	1260	269	814	170
PBANKA_0514300	2844	3801	11801	2279
PBANKA_0514400	672	67	192	38
PBANKA_0514500	1173	99	708	57
PBANKA_0514600	1743	48	202	44
PBANKA_0514700	720	14	88	14
PBANKA_0514800	720	326	814	240
PBANKA_0514900	642	145948	287017	64518
PBANKA_0515000	654	164075	318776	81126
PBANKA_0515100	564	48	472	18
PBANKA_0515200	1095	217	329	225
PBANKA_0515300	2076	662	1660	469
PBANKA_0515350	1038	102	293	90
PBANKA_0515400	1971	588	1530	428
PBANKA_0515500	348	85	199	92
PBANKA_0515600	1311	37	80	31
PBANKA_0515700	1803	41	225	23
PBANKA_0515800	1971	87	309	77
PBANKA_0515900	2994	935	2930	661
PBANKA_0516000	399	834	2554	490
PBANKA_0516100	2277	187	640	126
PBANKA_0516200	1359	460	963	268
PBANKA_0516300	786	827	1371	421
PBANKA_0516400	1044	207	421	130
PBANKA_0516500	1356	622	1716	502
PBANKA_0516600	933	207	716	152
PBANKA_0516700	4617	116	447	104
PBANKA_0516800	1497	139	297	65
PBANKA_0516900	4212	821	3283	877
PBANKA_0517000	942	4435	13018	1384
PBANKA_0517100	369	86	199	43
PBANKA_0517200	891	182	501	82
PBANKA_0517300	2073	128	360	132
PBANKA_0517400	2712	701	1415	442
PBANKA_0517500	1470	1296	3215	508
PBANKA_0517600	1416	16928	22465	9099
PBANKA_0517700	576	544	812	222
PBANKA_0517800	1929	206	544	186
PBANKA_0517900	423	118	303	85
PBANKA_0518000	633	418	772	174
PBANKA_0518100	1797	53	215	53
PBANKA_0518200	1896	920	1435	404
PBANKA_0518300	4080	378	1117	285
PBANKA_0518400	828	127	282	72
PBANKA_0518500	537	2099	4455	999
PBANKA_0518600	1002	75	393	39
PBANKA_0518700	2697	851	1966	615
PBANKA_0518800	3183	74	194	41
PBANKA_0518900	1434	85	214	71
PBANKA_0519000	2265	873	1573	577
PBANKA_0519100	885	386	644	135
PBANKA_0519200	1182	421	513	168
PBANKA_0519300	1731	334	526	73
PBANKA_0519400	1794	1002	1032	374
PBANKA_0519500	717	46	152	24
PBANKA_0519600	663	212	522	153
PBANKA_0519700	642	439	929	319
PBANKA_0519800	1674	631	1344	356
PBANKA_0519900	4776	1353	5594	1676
PBANKA_0520000	2205	138	325	114
PBANKA_0520100	2133	322	957	386
PBANKA_0520200	906	1714	4035	837
PBANKA_0520300	3369	94	381	56
PBANKA_0520400	2250	463	891	282
PBANKA_0520500	2628	198	416	211
PBANKA_0520600	318	39	304	17
PBANKA_0520700	2781	231	1121	220
PBANKA_0520800	690	51	220	45
PBANKA_0520900	360	558	1340	344
PBANKA_0521000	2790	66	257	37
PBANKA_0521100	177	31	129	23
PBANKA_0521200	1080	164	994	114
PBANKA_0521221	2048	2353	987	545
PBANKA_0521241	136	138	131	13
PBANKA_0521261	4018	4813	4945	986
PBANKA_0521300	8409	542	3046	822
PBANKA_0521400	1767	97	475	122
PBANKA_0521500	3669	109	395	88
PBANKA_0521600	1563	149	485	90
PBANKA_0521700	8328	771	4043	787
PBANKA_0521800	798	38	93	12
PBANKA_0521900	594	155	673	74
PBANKA_0522000	1398	238	874	111
PBANKA_0522100	5286	58	90	41
PBANKA_0522200	360	520	3192	281
PBANKA_0522300	228	398	1121	290
PBANKA_0522400	969	399	1416	274
PBANKA_0522500	1107	104	409	73
PBANKA_0522600	8979	707	5039	983
PBANKA_0522700	1353	16040	29155	8079
PBANKA_0522800	519	828	2679	630
PBANKA_0522900	7362	689	1653	506
PBANKA_0523000	420	50	71	29
PBANKA_0523100	1173	165	436	114
PBANKA_0523200	1374	54	145	35
PBANKA_0523300	768	106	450	43
PBANKA_0523400	735	54	210	29
PBANKA_0523500	441	57	127	26
PBANKA_0523600	411	424	1385	301
PBANKA_0523700	999	70	240	21
PBANKA_0523800	504	92	275	32
PBANKA_0523900	1104	31274	72700	16319
PBANKA_0524000	3567	180	648	166
PBANKA_0524100	879	26	143	18
PBANKA_0524200	468	1796	4353	930
PBANKA_0524300	1065	4261	5779	1263
PBANKA_0524400	987	77	178	24
PBANKA_0524500	654	9	28	3
PBANKA_0524600	696	120	466	92
PBANKA_0524700	2781	1256	2822	1227
PBANKA_0524800	348	2128	4655	902
PBANKA_0524821	894	0	0	0
PBANKA_0524841	8181	1	5	0
PBANKA_0600011	999	0	0	1
PBANKA_0600021	978	0	0	0
PBANKA_0600031	2310	110	125	21
PBANKA_0600041	2289	21	39	16
PBANKA_0600051	975	400	883	178
PBANKA_0600061	729	7	48	6
PBANKA_0600071	5322	0	6	0
PBANKA_0600081	987	40	91	5
PBANKA_0600086	1035	15	46	4
PBANKA_0600091	285	1	5	1
PBANKA_0600096	972	2	5	1
PBANKA_0600100	984	51	99	7
PBANKA_0600200	933	20	51	6
PBANKA_0600251	945	20	117	4
PBANKA_0600300	1020	36	96	7
PBANKA_0600351	8313	6	29	35
PBANKA_0600400	888	301	827	121
PBANKA_0600500	1419	78	287	44
PBANKA_0600600	960	5086	10969	388
PBANKA_0600700	591	62	441	18
PBANKA_0600800	633	209	538	93
PBANKA_0600900	612	437	927	105
PBANKA_0601000	2694	334	693	209
PBANKA_0601100	972	1739	3397	844
PBANKA_0601200	16629	665	3251	667
PBANKA_0601300	681	263	623	85
PBANKA_0601500	2856	304	806	191
PBANKA_0601600	5217	1884	3931	1595
PBANKA_0601700	1272	81	568	55
PBANKA_0601800	273	83	348	33
PBANKA_0601900	318	605	1778	429
PBANKA_0602000	3117	1692	3520	959
PBANKA_0602100	426	97	437	38
PBANKA_0602200	312	29	127	11
PBANKA_0602300	2439	484	1588	223
PBANKA_0602400	3072	458	1410	307
PBANKA_0602500	1635	102	320	85
PBANKA_0602600	525	43	215	34
PBANKA_0602700	1038	1488	2627	905
PBANKA_0602800	444	14908	21594	7856
PBANKA_0602900	483	17	89	30
PBANKA_0603000	2688	108	380	114
PBANKA_0603100	1557	28	66	29
PBANKA_0603200	486	457	2122	223
PBANKA_0603300	1050	3391	11619	2280
PBANKA_0603400	897	62	199	30
PBANKA_0603500	1116	16	84	19
PBANKA_0603600	363	179	367	65
PBANKA_0603650	321	246	639	147
PBANKA_0603700	1989	377	789	194
PBANKA_0603800	1746	30	83	24
PBANKA_0603900	1140	43	156	19
PBANKA_0604000	1005	19	97	12
PBANKA_0604100	2706	347	906	217
PBANKA_0604200	3498	990	2860	899
PBANKA_0604300	993	3754	7925	3499
PBANKA_0604400	990	319	765	269
PBANKA_0604500	6795	1024	3998	794
PBANKA_0604600	3519	942	3569	602
PBANKA_0604700	909	107	463	63
PBANKA_0604800	2778	690	1556	424
PBANKA_0604900	7431	97	508	180
PBANKA_0605000	1131	26	80	20
PBANKA_0605100	2130	363	1548	338
PBANKA_0605200	4266	758	1446	444
PBANKA_0605300	1548	514	1393	440
PBANKA_0605400	2034	37	183	38
PBANKA_0605500	1989	311	1515	252
PBANKA_0605600	6930	2344	9604	1545
PBANKA_0605700	2364	520	1684	395
PBANKA_0605800	333	5157	18349	1962
PBANKA_0605900	1056	513	679	387
PBANKA_0606000	543	103	155	67
PBANKA_0606100	1644	66	176	74
PBANKA_0606200	1113	18637	31177	12997
PBANKA_0606300	2646	641	1682	275
PBANKA_0606400	1200	75	343	36
PBANKA_0606500	384	43	279	11
PBANKA_0606600	12864	396	1327	440
PBANKA_0606700	10203	80	622	75
PBANKA_0606800	477	82	360	76
PBANKA_0606900	4527	167	624	169
PBANKA_0607000	4383	844	1950	600
PBANKA_0607100	228	65	375	31
PBANKA_0607200	1200	34	151	31
PBANKA_0607300	2655	432	1226	290
PBANKA_0607400	4218	1890	4820	1191
PBANKA_0607500	453	29	91	25
PBANKA_0607600	327	1164	2119	504
PBANKA_0607700	3747	1413	6409	1275
PBANKA_0607800	1920	382	1705	341
PBANKA_0607900	2856	228	628	253
PBANKA_0608000	1317	377	902	208
PBANKA_0608100	696	199	509	85
PBANKA_0608200	573	281	903	59
PBANKA_0608300	2367	152	522	167
PBANKA_0608400	1023	113	273	67
PBANKA_0608500	930	449	1042	367
PBANKA_0608600	2625	13806	48383	7777
PBANKA_0608700	594	63	213	38
PBANKA_0608800	1656	29	205	29
PBANKA_0608900	2601	106	471	62
PBANKA_0609000	1395	35	248	20
PBANKA_0609100	3510	658	1972	460
PBANKA_0609200	1368	183	655	96
PBANKA_0609250	123	4	9	2
PBANKA_0609300	1359	43	181	42
PBANKA_0609500	4812	14139	33799	7218
PBANKA_0609600	702	40	116	100
PBANKA_0609700	4356	206	653	138
PBANKA_0609800	3060	111	481	126
PBANKA_0609900	738	1345	2016	1107
PBANKA_0610000	1200	128	440	91
PBANKA_0610100	8259	592	2582	448
PBANKA_0610200	2277	4924	10567	2234
PBANKA_0610300	690	334	2015	201
PBANKA_0610400	4479	1416	3404	1404
PBANKA_0610500	603	88	651	61
PBANKA_0610600	1458	522	1085	318
PBANKA_0610700	723	213	481	111
PBANKA_0610800	1893	261	732	154
PBANKA_0610900	1275	1104	1958	820
PBANKA_0611000	555	91	244	33
PBANKA_0611100	2850	185	496	79
PBANKA_0611200	1647	20	47	33
PBANKA_0611300	618	196	676	164
PBANKA_0611400	2064	88	317	64
PBANKA_0611500	624	89	277	40
PBANKA_0611600	2544	25004	42104	15791
PBANKA_0611700	504	133	258	66
PBANKA_0611800	1527	319	1300	193
PBANKA_0611900	600	188	1037	82
PBANKA_0612000	723	21	43	12
PBANKA_0612100	2538	150	770	84
PBANKA_0612200	3756	738	1914	491
PBANKA_0612300	2499	386	1293	696
PBANKA_0612400	3264	18265	64368	15193
PBANKA_0612500	600	58	154	30
PBANKA_0612600	2904	122	212	87
PBANKA_0612700	1782	161	728	162
PBANKA_0612800	3576	187	727	191
PBANKA_0612841	72	6	1	14
PBANKA_0612861	72	25	49	14
PBANKA_0612900	405	365	1407	216
PBANKA_0613000	3711	45	97	32
PBANKA_0613100	11031	520	1454	319
PBANKA_0613200	5130	736	3035	668
PBANKA_0613300	1965	299	833	196
PBANKA_0613400	1026	86	172	110
PBANKA_0613500	1104	114	357	64
PBANKA_0613600	1503	213	844	74
PBANKA_0613700	2775	1550	4106	1151
PBANKA_0613800	3072	217	424	110
PBANKA_0613900	1527	110	399	57
PBANKA_0614000	1437	612	1163	325
PBANKA_0614100	522	96	315	63
PBANKA_0614200	1416	114	278	70
PBANKA_0614300	1599	57	124	23
PBANKA_0614400	3099	131	530	97
PBANKA_0614500	984	529	1003	294
PBANKA_0614600	987	71	190	54
PBANKA_0614700	900	363	926	164
PBANKA_0614800	2490	309	1063	251
PBANKA_0614900	1002	233	455	136
PBANKA_0615000	1146	147	362	73
PBANKA_0615100	2052	253	770	193
PBANKA_0615200	1587	1049	3439	1005
PBANKA_0615300	2940	8466	24004	5146
PBANKA_0615400	1611	305	628	178
PBANKA_0615500	3747	864	2331	1029
PBANKA_0615600	1293	327	498	141
PBANKA_0615700	15750	595	1614	433
PBANKA_0615800	7371	877	3504	1259
PBANKA_0615900	7605	16	42	38
PBANKA_0616000	390	176	232	158
PBANKA_0616100	570	157	344	171
PBANKA_0616200	3201	66	129	54
PBANKA_0616300	1389	23	115	15
PBANKA_0616400	828	468	969	382
PBANKA_0616500	534	183	572	121
PBANKA_0616600	534	1048	4695	540
PBANKA_0616700	933	1395	5874	1050
PBANKA_0616800	2718	120	342	70
PBANKA_0616900	4023	289	884	213
PBANKA_0617000	1275	314	1057	132
PBANKA_0617100	522	991	2431	827
PBANKA_0617200	414	616	3620	411
PBANKA_0617300	1479	65	116	50
PBANKA_0617400	8646	133	373	122
PBANKA_0617500	585	73	273	70
PBANKA_0617600	864	65	371	45
PBANKA_0617700	363	123	392	113
PBANKA_0617800	303	93	350	79
PBANKA_0617900	1968	295	715	199
PBANKA_0618000	408	31	513	23
PBANKA_0618100	705	355	903	302
PBANKA_0618200	5751	748	2379	717
PBANKA_0618300	591	104	230	78
PBANKA_0618400	597	462	1013	222
PBANKA_0618500	7659	474	1594	368
PBANKA_0618600	708	304	740	205
PBANKA_0618700	2664	91	259	59
PBANKA_0618800	2376	63	265	59
PBANKA_0618900	678	169	367	82
PBANKA_0619000	2295	192	736	162
PBANKA_0619100	585	1514	4231	840
PBANKA_0619200	1440	1400	5399	960
PBANKA_0619300	315	238	479	105
PBANKA_0619400	237	503	3082	215
PBANKA_0619500	666	93	770	41
PBANKA_0619600	1158	52	191	39
PBANKA_0619700	1635	36	133	32
PBANKA_0619800	3138	311	1184	215
PBANKA_0619900	1182	500	811	347
PBANKA_0620000	810	102	165	55
PBANKA_0620100	1812	337	1566	160
PBANKA_0620200	240	524	2195	300
PBANKA_0620300	1665	7628	21633	1787
PBANKA_0620400	933	8140	21080	3716
PBANKA_0620500	1008	24	53	19
PBANKA_0620600	1362	678	2026	417
PBANKA_0620700	1071	625	1420	448
PBANKA_0620800	1680	275	709	215
PBANKA_0620900	3369	426	1398	323
PBANKA_0621000	666	234	742	87
PBANKA_0621100	441	48	199	34
PBANKA_0621200	2373	103	377	38
PBANKA_0621300	5214	1776	5716	1248
PBANKA_0621400	3399	415	1624	421
PBANKA_0621500	4920	142	448	107
PBANKA_0621600	2091	514	1283	493
PBANKA_0621700	1269	110	333	65
PBANKA_0621800	1080	208	1533	135
PBANKA_0621900	345	360	1184	241
PBANKA_0622000	900	1312	5669	242
PBANKA_0622100	5079	741	2311	571
PBANKA_0622200	9459	564	2057	608
PBANKA_0622300	1224	151	391	118
PBANKA_0622400	6342	15081	48376	13458
PBANKA_0622500	2637	154	610	131
PBANKA_0622600	4200	351	904	374
PBANKA_0622700	447	186	406	106
PBANKA_0622800	2274	274	708	252
PBANKA_0622900	300	35	150	19
PBANKA_0622921	2067	1872	11244	1258
PBANKA_0622941	136	18	56	20
PBANKA_0622961	3934	337	535	110
PBANKA_0623000	819	385	2089	99
PBANKA_0623100	2382	2964	6199	2314
PBANKA_0623150	252	328	1363	209
PBANKA_0623200	1737	1210	1974	623
PBANKA_0623300	1029	480	1155	311
PBANKA_0623400	936	234	457	70
PBANKA_0623450	417	2710	5538	622
PBANKA_0623500	1065	570	1459	181
PBANKA_0623600	912	51	155	19
PBANKA_0623651	831	0	0	1
PBANKA_0623700	2715	0	0	0
PBANKA_0623751	447	0	0	0
PBANKA_0700011	693	0	1	0
PBANKA_0700021	693	0	0	0
PBANKA_0700031	978	0	0	0
PBANKA_0700041	963	0	0	0
PBANKA_0700051	921	1	2	0
PBANKA_0700061	945	64	150	1
PBANKA_0700071	915	38	74	11
PBANKA_0700081	960	14	23	5
PBANKA_0700100	915	12	37	12
PBANKA_0700200	969	13	14	0
PBANKA_0700300	1053	8	29	1
PBANKA_0700400	798	9	17	4
PBANKA_0700500	849	19	114	8
PBANKA_0700521	876	0	0	0
PBANKA_0700541	954	20	71	4
PBANKA_0700561	1227	21	109	2
PBANKA_0700600	678	150	542	88
PBANKA_0700700	624	93	471	103
PBANKA_0700721	2042	1564	1998	293
PBANKA_0700741	159	7389	48989	780
PBANKA_0700761	3789	7988	24549	1762
PBANKA_0700800	891	187	636	154
PBANKA_0700900	3147	35	153	36
PBANKA_0701000	1266	131	431	68
PBANKA_0701100	495	348	1171	216
PBANKA_0701200	7482	129	1079	191
PBANKA_0701300	1365	43	124	57
PBANKA_0701400	288	38	115	28
PBANKA_0701500	819	201	374	98
PBANKA_0701600	651	248	496	193
PBANKA_0701700	4884	305	927	210
PBANKA_0701800	558	120	346	76
PBANKA_0701900	1878	142	571	47
PBANKA_0702000	2955	1656	5947	1587
PBANKA_0702100	1518	279	724	220
PBANKA_0702200	1029	163	389	66
PBANKA_0702300	1272	360	1925	90
PBANKA_0702400	1626	510	1529	177
PBANKA_0702500	3612	378	968	207
PBANKA_0702600	2853	42	135	30
PBANKA_0702700	801	2188	4925	1200
PBANKA_0702800	1449	3312	6820	2404
PBANKA_0702900	6135	419	1714	360
PBANKA_0703000	1734	37	154	32
PBANKA_0703100	4395	197	688	144
PBANKA_0703200	954	54	168	50
PBANKA_0703300	642	1735	3983	1349
PBANKA_0703400	1191	94	370	70
PBANKA_0703500	3063	3443	11976	3430
PBANKA_0703600	3222	278	1035	188
PBANKA_0703700	3216	459	1611	277
PBANKA_0703800	2256	149	483	138
PBANKA_0703900	969	2983	5693	1250
PBANKA_0703910	91	24	34	6
PBANKA_0704000	825	73	281	53
PBANKA_0704100	3657	560	1124	409
PBANKA_0704200	921	210	504	124
PBANKA_0704300	1125	192	638	147
PBANKA_0704400	1314	555	2460	373
PBANKA_0704500	22443	1075	8553	2086
PBANKA_0704600	2580	49	210	34
PBANKA_0704700	1464	888	2515	758
PBANKA_0704800	1161	4521	24286	3017
PBANKA_0704900	870	5557	16644	3408
PBANKA_0705000	258	76	200	45
PBANKA_0705100	1893	153	524	75
PBANKA_0705200	366	545	1690	232
PBANKA_0705300	456	32	127	25
PBANKA_0705400	489	103	204	54
PBANKA_0705500	558	183	744	62
PBANKA_0705600	4608	5024	18262	3886
PBANKA_0705700	3108	100	314	53
PBANKA_0705800	3384	685	1259	439
PBANKA_0705900	1752	661	1301	355
PBANKA_0706000	759	109	324	85
PBANKA_0706100	1047	50	141	38
PBANKA_0706200	1665	76	208	45
PBANKA_0706300	2253	111	456	80
PBANKA_0706400	3324	962	2630	910
PBANKA_0706500	1221	43	68	37
PBANKA_0706600	2388	64	165	29
PBANKA_0706700	960	2739	7353	1597
PBANKA_0706800	1941	325	770	175
PBANKA_0706900	201	331	1792	135
PBANKA_0707000	1287	64	121	34
PBANKA_0707100	1485	22065	59904	12977
PBANKA_0707200	1506	174	486	85
PBANKA_0707300	3915	1295	2806	660
PBANKA_0707400	867	1894	2568	914
PBANKA_0707500	687	466	810	292
PBANKA_0707600	3669	170	577	137
PBANKA_0707700	3441	315	1522	256
PBANKA_0707800	969	102	489	69
PBANKA_0707900	2691	30	203	56
PBANKA_0708000	2280	547	1060	314
PBANKA_0708100	597	441	1392	341
PBANKA_0708200	1545	396	1781	281
PBANKA_0708400	252	181	421	134
PBANKA_0708500	3903	365	762	281
PBANKA_0708600	1179	79	222	63
PBANKA_0708700	792	62	98	35
PBANKA_0708800	1800	521	1353	289
PBANKA_0708900	324	189	965	120
PBANKA_0709000	240	11434	21527	3780
PBANKA_0709100	417	179	1815	140
PBANKA_0709200	1743	121	302	57
PBANKA_0709300	696	6	34	4
PBANKA_0709400	351	194	1123	106
PBANKA_0709500	2355	1623	2234	928
PBANKA_0709600	663	352	1757	162
PBANKA_0709700	2421	548	1355	515
PBANKA_0709800	1536	98	266	55
PBANKA_0709900	3693	178	428	129
PBANKA_0710000	2145	115	230	64
PBANKA_0710100	3117	1702	3309	801
PBANKA_0710200	1365	318	891	134
PBANKA_0710300	2118	164	462	92
PBANKA_0710400	1437	72	165	69
PBANKA_0710500	1701	217	611	121
PBANKA_0710600	1791	404	1033	336
PBANKA_0710700	1065	178	630	71
PBANKA_0710800	5721	1449	3255	742
PBANKA_0710900	276	97	540	52
PBANKA_0711000	4026	468	1378	134
PBANKA_0711100	1590	44	176	36
PBANKA_0711200	1140	544	1447	400
PBANKA_0711300	1140	289	1128	224
PBANKA_0711400	2049	58	175	87
PBANKA_0711500	2877	92	217	79
PBANKA_0711600	2064	44	101	44
PBANKA_0711700	876	101	397	59
PBANKA_0711800	3525	458	935	344
PBANKA_0711900	2082	15934	39346	9285
PBANKA_0712000	1032	163	1153	155
PBANKA_0712100	3057	1416	2716	1071
PBANKA_0712200	864	7482	19636	3761
PBANKA_0712300	681	549	2060	294
PBANKA_0712400	582	126	380	83
PBANKA_0712500	1629	181	488	83
PBANKA_0712600	789	6510	9103	4329
PBANKA_0712700	1839	178	470	144
PBANKA_0712800	1086	263	559	195
PBANKA_0712900	297	18005	60555	8066
PBANKA_0713000	165	316	811	163
PBANKA_0713100	3447	427	1149	272
PBANKA_0713200	2889	1048	2620	703
PBANKA_0713300	561	498	1009	320
PBANKA_0713400	1659	51	158	18
PBANKA_0713500	5649	566	2293	560
PBANKA_0713600	1881	89	386	130
PBANKA_0713700	2208	155	513	93
PBANKA_0713800	1221	55	176	40
PBANKA_0713900	828	96	282	63
PBANKA_0714000	1041	63043	110386	25312
PBANKA_0714100	432	1666	3562	638
PBANKA_0714200	3135	1067	2093	967
PBANKA_0714300	516	2501	5156	1164
PBANKA_0714400	744	369	1432	175
PBANKA_0714500	2238	25	107	34
PBANKA_0714600	630	519	1088	367
PBANKA_0714700	555	28	57	14
PBANKA_0714800	1335	51	183	39
PBANKA_0714900	2058	15	33	21
PBANKA_0715000	4467	808	3014	772
PBANKA_0715100	1101	41	68	30
PBANKA_0715200	810	689	1534	499
PBANKA_0715300	1455	220	879	163
PBANKA_0715400	486	378	1800	224
PBANKA_0715500	897	572	1984	220
PBANKA_0715600	1188	887	1960	498
PBANKA_0715700	1044	233	495	150
PBANKA_0715800	834	169	454	105
PBANKA_0715900	2592	322	942	161
PBANKA_0716000	3528	1521	5035	1381
PBANKA_0716100	4338	167	506	231
PBANKA_0716200	453	190	695	104
PBANKA_0716300	330	51	178	34
PBANKA_0716400	966	46	125	34
PBANKA_0716500	1167	1713	5006	2684
PBANKA_0716600	768	1067	1952	725
PBANKA_0716700	1806	376	1803	226
PBANKA_0716800	324	4	19	0
PBANKA_0716900	825	659	1035	289
PBANKA_0717000	1140	181	429	108
PBANKA_0717100	1131	70	94	58
PBANKA_0717200	4797	860	2645	546
PBANKA_0717300	3645	1938	4488	1263
PBANKA_0717400	660	51	233	36
PBANKA_0717500	720	173	346	121
PBANKA_0717600	681	214	774	69
PBANKA_0717700	1314	401	944	191
PBANKA_0717800	618	1312	2472	1065
PBANKA_0717900	1344	528	1685	293
PBANKA_0718000	1584	7	64	18
PBANKA_0718100	1971	107	285	93
PBANKA_0718200	636	43	108	33
PBANKA_0718300	3645	94	182	75
PBANKA_0718400	2958	492	1276	230
PBANKA_0718500	735	129	541	167
PBANKA_0718600	876	53	197	37
PBANKA_0718700	267	64	382	26
PBANKA_0718800	576	1627	4720	625
PBANKA_0718900	5559	207	706	168
PBANKA_0719100	846	279	1298	255
PBANKA_0719200	1434	141	429	124
